TCFG,unit_per_change,trend,dummy,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27
tcfg,0.0038447109358705,U,,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75
tcfg,0.00013197921600029,U,,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.75
tcfg,0.01338093591766,U,,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.75,0.75,0.75
tcfg,0.0031272861255106,U,,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0044598610088764,U,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0071557257735019,U,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0021828874396177,U,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0033312188767884,U,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0065132413417101,U,,0,0,0.75,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0062972171662712,U,,0,0,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.014058464113099,U,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0039308717127627,U,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1
tcfg,-0.00042101718618636,U,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1
tcfg,-0.00745512230027,U,,0,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0028856562698918,U,,0,0,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0037025795554439,U,,1,0,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0031801222488348,U,,1,0.75,0,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0054525328772763,D,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1
tcfg,-0.0094585503348457,D,,0,0.75,0.25,0,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.010609854212162,D,,0,0,0,0,0,0.25,0.25,0.25,0.75,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0033457936928135,D,,0,0,0,0,0,0.25,0.25,0.25,0.75,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0068829260508202,D,,1,0,0,0.25,0.25,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.00033969472513799,D,,1,0.75,0,0.25,0.25,0.25,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0012316947505548,D,,0,1,0.25,0,0.25,0.25,0.25,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.00046782819476925,D,,0,0.75,0.75,0.25,0.25,0.25,0.25,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0,D,,0,0,0.75,0.25,0.25,0.25,0.25,0.25,0.75,0.75,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.00076584797270807,D,,1,0.25,0.75,0.75,0.25,0.25,0.25,0.25,0.75,0.75,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0032309553432178,D,,0,0,0,0.75,0.25,0.25,0.25,0,0.25,0.75,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0045210686500619,D,,0,0,0,0,0.25,0.25,0.25,0.25,0,0.75,0.75,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0095115471293916,D,,0,0,0,0,0,0,0,0,0,0.25,0.75,0.75,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0023359057381869,D,,0,0,0,0,0,0,0,0,0,0.25,0.75,0.75,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0032951150376871,D,,0,0,0,0,0,0,0,0,0,0,0.75,0.75,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.015312315229553,D,,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0.75,1,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,-0.0074218272984012,U,,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,0.0048068580934947,U,,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,0.0098776590325964,U,,1,0.25,0,0,0,0,0,0,0,0,0.25,0.75,0.75,1,1,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,0.0056143030616262,U,,1,1,0.75,0,0,0,0,0,0,0,0.25,0.75,0.75,1,1,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75
tcfg,-0.0070658836072004,U,,0,1,0.75,0.25,0,0,0,0,0,0,0.25,0.75,0.75,0.75,1,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,0.0030309255435977,U,,0,1,1,0.75,0.25,0,0,0,0,0,0.25,0.75,0.75,0.75,1,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
tcfg,0.0086275715360873,U,,1,1,1,1,0.75,0.25,0.25,0,0,0,0.25,0.75,0.75,0.75,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0089444019467017,U,,1,1,1,1,1,0.75,0.75,0.25,0.25,0,0.25,0.75,0.75,0.75,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0060679512404052,U,,1,1,1,1,1,1,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.75,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0,U,,1,1,1,1,1,1,1,0.75,0.75,0.25,0.25,0.75,0.75,0.75,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0079989522662552,U,,0,0.75,1,1,1,1,1,0.75,0.75,0,0.25,0.75,0.75,0.75,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0039238724571863,U,,0,0.25,1,1,1,1,1,0.75,0.75,0.25,0.25,0.75,0.75,0.75,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0078601706834242,U,,1,1,1,1,1,1,1,1,1,0.75,0.25,0.75,0.75,0.75,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0023439164713403,U,,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0045068443877551,U,,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,0.0060949383741201,D,,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0002944682372739,D,,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0021462348587444,D,,0,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
tcfg,-0.0038376573836224,D,,0,0,0.75,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
